,City,Country,Max Temp,weather description,Lat,Lng,Hotel Name
1,Rikitea,PF,76.87,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
6,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
9,Mar Del Plata,AR,83.82,scattered clouds,-38.0023,-57.5575,Nuevo Ostende
12,Atar,MR,77.27,clear sky,20.5169,-13.0499,فندق سكليل
15,Neiafu,TO,75.88,few clouds,-18.65,-173.9833,Port Wine Guest House
16,Hilo,US,74.28,clear sky,19.7297,-155.09,Dolphin Bay Hotel
24,Hermanus,ZA,76.8,broken clouds,-34.4187,19.2345,Aloe guest house
25,Port Elizabeth,ZA,79.11,light rain,-33.918,25.5701,Waterford Hotel
27,Chuy,UY,81.03,overcast clouds,-33.6971,-53.4616,Alerces
30,Atuona,PF,78.62,light rain,-9.8,-139.0333,Pearl Resort
34,Banjar,ID,76.37,overcast clouds,-8.19,114.9675,Villa Banjar Beach
41,Georgetown,MY,84.13,light rain,5.4112,100.3354,Page 63 hostel
44,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
45,Sao Filipe,CV,76.66,few clouds,14.8961,-24.4956,Bela Vista
46,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti International Resort
63,Cape Town,ZA,82.11,clear sky,-33.9258,18.4232,Townhouse Hotel
64,Hithadhoo,MV,81.54,scattered clouds,-0.6,73.0833,Pebbles Inn
72,Cockburn Town,TC,76.06,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
77,Huarmey,PE,73.13,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
79,Samarinda,ID,73.36,broken clouds,-0.5,117.15,Hotel Bumi Senyiur
80,Kapaa,US,71.92,moderate rain,22.0752,-159.319,Pono Kai Resort
85,Kalmunai,LK,77.97,overcast clouds,7.4167,81.8167,Saji new food
86,Mahebourg,MU,80.26,thunderstorm with rain,-20.4081,57.7,Grand Bel Air
88,Cairns,AU,77.07,broken clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
96,Castro,BR,74.64,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
97,Bengkulu,ID,72.5,overcast clouds,-3.8004,102.2655,Dena Hotel
101,Rocha,UY,88.57,broken clouds,-34.4833,-54.3333,Hotel Municipal
104,Ratnagiri,IN,73.94,clear sky,16.9833,73.3,Vihar
107,Lahad Datu,MY,75.36,overcast clouds,5.0268,118.327,Silam Dynasty Hotel
109,Kavieng,PG,82.02,overcast clouds,-2.5744,150.7967,Kavieng Hotel
122,Santa Ines,BR,71.83,overcast clouds,-3.6667,-45.38,Hotel Carajás
128,Meulaboh,ID,77.2,overcast clouds,4.1363,96.1285,Hotel Meuligou
130,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,losmen Surya
137,Lagoa Nova,BR,88.5,broken clouds,-6.1,-36.4833,Pousada Chalés dos Cajueiros
139,Banda Aceh,ID,77.77,scattered clouds,5.5577,95.3222,Hotel 61
143,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Ocean Centre Hotel
145,Sinnamary,GF,77.27,overcast clouds,5.3833,-52.95,Hôtel du fleuve
146,Guayaramerin,BO,80.65,broken clouds,-10.8368,-65.3614,Hotel K d' Oro
149,Matara,LK,74.35,few clouds,5.9485,80.5353,Villa Palm Breeze
173,Kloulklubed,PW,82.04,broken clouds,7.0419,134.2556,The Adventures Inn
178,Formosa Do Rio Preto,BR,78.6,overcast clouds,-11.0483,-45.1931,Pousada Universo - Formosa do Rio Preto BA
