City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather description
0,Melilla,ES,35.2937,-2.9383,61.0,41,0,17.27,clear sky
1,Rikitea,PF,-23.1203,-134.9692,76.87,71,100,0.85,overcast clouds
2,Ponta Do Sol,PT,32.6667,-17.1,65.12,55,73,8.05,broken clouds
3,Yenagoa,NG,4.9247,6.2642,98.28,26,100,2.06,overcast clouds
4,Harper,LR,4.375,-7.7169,85.08,66,46,10.85,scattered clouds
5,Codrington,AU,-38.2667,141.9667,57.27,68,100,11.79,overcast clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,76.96,92,51,1.01,broken clouds
7,Kharp,RU,66.8014,65.8081,4.35,93,15,5.61,few clouds
8,Cadillac,US,44.2519,-85.4012,31.91,100,100,9.22,snow
9,Mar Del Plata,AR,-38.0023,-57.5575,83.82,81,40,18.99,scattered clouds
10,Ushuaia,AR,-54.8,-68.3,53.22,82,0,5.75,clear sky
11,Kieta,PG,-6.2167,155.6333,81.25,82,100,10.98,overcast clouds
12,Atar,MR,20.5169,-13.0499,77.27,25,0,9.62,clear sky
13,Butaritari,KI,3.0707,172.7902,80.06,84,98,18.19,light rain
14,Vila,PT,42.0304,-8.1588,43.68,96,100,14.85,light rain
15,Neiafu,TO,-18.65,-173.9833,75.88,94,20,0.0,few clouds
16,Hilo,US,19.7297,-155.09,74.28,89,0,5.75,clear sky
17,Marzuq,YE,14.4,46.4667,67.03,39,16,5.32,few clouds
18,Qaanaaq,GL,77.484,-69.3632,-27.98,56,11,8.32,few clouds
19,Victoria,HK,22.2855,114.1577,63.32,66,0,8.01,clear sky
20,Tias,ES,28.9611,-13.645,64.08,59,75,23.02,broken clouds
21,Henties Bay,NA,-22.116,14.2845,68.04,83,59,10.74,broken clouds
22,Newtownards,GB,54.5924,-5.6909,42.93,78,20,6.91,few clouds
23,Saint George,US,37.1041,-113.5841,28.99,93,0,0.0,clear sky
24,Hermanus,ZA,-34.4187,19.2345,76.8,73,60,11.1,broken clouds
25,Port Elizabeth,ZA,-33.918,25.5701,79.11,86,75,19.57,light rain
26,Muros,ES,42.7762,-9.0603,56.08,93,100,28.5,overcast clouds
27,Chuy,UY,-33.6971,-53.4616,81.03,49,100,13.33,overcast clouds
28,Port Alfred,ZA,-33.5906,26.891,73.18,90,100,7.0,light rain
